SiteID,Ts,NOx,NO2,NO,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Location,Lat,Long
271,1086177600,18.08,10.74,4.79,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086192000,18.57,11.4,4.67,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086199200,21.69,14.74,4.53,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086253200,89.69,45.18,29.02,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086318000,7.56,3.97,2.34,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086325200,27.26,14.55,8.29,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086350400,28.27,12.25,10.45,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086368400,20.21,13.15,4.6,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086393600,54.2,31.78,14.61,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086408000,30.77,17.57,8.61,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086494400,14.94,9.81,3.35,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086602400,68.35,36.16,20.99,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086627600,18.93,3.57,10.01,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086663600,43.5,36.01,4.88,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086688800,112.22,65.77,30.29,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086732000,29.14,24.71,2.89,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086746400,12.51,9.38,2.04,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086768000,23.48,14.5,5.85,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086771600,27.34,16.53,7.05,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086825600,12.1,5.78,4.12,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
