SiteID,Ts,NOx,NO2,NO,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Location,Lat,Long
209,967784400,289.22,21.71,170.78,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967809600,256.37,75.21,114.51,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967816800,263.3,79.46,116.25,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967827600,331.44,93.14,151.79,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967885200,149.7,64.98,55.71,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967888800,179.49,81.76,64.22,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967892400,184.94,79.32,69.36,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967906800,188.91,89.31,65.41,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967935600,210.57,100.98,71.98,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,967978800,158.64,75.3,52.16,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968018400,72.24,37.72,20.29,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968040000,66.75,51.21,6.89,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968061600,105.95,49.63,33.48,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968086800,146.21,90.84,32.89,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968101200,230.46,138.85,56.52,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968133600,193.35,82.0,70.86,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968144400,145.06,65.6,50.0,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968148000,143.96,68.13,47.73,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968162400,188.48,73.82,73.01,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,968180400,98.54,60.77,22.88,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970369200,38.2,31.56,4.8,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970430400,94.19,44.75,32.7,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970441200,53.12,29.74,15.65,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970444800,135.74,63.64,45.76,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970473600,183.93,79.51,66.81,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970491600,188.29,66.75,77.94,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970538400,36.62,28.74,4.49,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970574400,189.53,88.02,65.59,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970650000,181.59,102.37,48.79,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970671600,223.57,113.55,68.9,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970689600,71.91,39.64,18.24,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,970693200,53.45,26.87,14.5,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,973101600,211.95,73.68,90.69,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,973116000,54.51,26.39,18.83,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,973123200,41.07,23.95,11.66,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,973134000,20.99,14.34,4.21,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,973162800,138.51,58.43,52.06,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
209,973180800,178.68,77.22,66.06,,,,,,,,,,"IKEA M32",51.4752847609,-2.56207998299
