SiteID,Ts,NOx,NO2,NO,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Location,Lat,Long
228,1049608800,154.34,34.76,75.1,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049644800,290.58,83.29,127.2,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049655600,215.5,67.37,90.22,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049742000,284.71,84.72,122.22,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049781600,471.64,86.25,243.53,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049788800,566.79,102.08,293.76,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049839200,243.06,78.22,99.96,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049871600,318.36,82.43,146.01,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049875200,324.34,89.93,144.22,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049904000,310.92,96.91,130.12,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049922000,140.7,60.15,46.81,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049929200,85.81,41.31,25.32,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049932800,65.18,33.37,17.82,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1049943600,107.16,48.63,33.67,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1050033600,387.29,67.85,202.28,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1050040800,777.88,102.51,431.65,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1050080400,468.68,112.45,221.49,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1050084000,430.17,98.06,207.29,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1050094800,219.02,72.58,88.61,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1050127200,229.03,67.8,98.75,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
228,1050130800,300.92,74.73,140.59,,,,,,,,,,"Temple Meads Station",51.4488837041,-2.58447776241
