SiteID,Ts,NOx,NO2,NO,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Location,Lat,Long
213,1287277200,94.0,53.0,26.0,15.4,,,,,,0.3,,,"Old Market",51.4560189999,-2.58348949026
213,1287288000,128.0,59.0,45.0,15.8,,,,,,0.1,,,"Old Market",51.4560189999,-2.58348949026
213,1287316800,109.0,57.0,34.0,17.6,,,,,,0.5,,,"Old Market",51.4560189999,-2.58348949026
213,1287342000,172.0,92.0,53.0,15.6,,,,,,0.8,,,"Old Market",51.4560189999,-2.58348949026
213,1287349200,332.0,90.0,159.0,28.0,,,,,,0.8,,,"Old Market",51.4560189999,-2.58348949026
213,1287381600,733.0,134.0,393.0,21.1,,,,,,1.2,,,"Old Market",51.4560189999,-2.58348949026
213,1287396000,405.0,113.0,191.0,27.4,,,,,,0.5,,,"Old Market",51.4560189999,-2.58348949026
213,1287460800,29.0,23.0,4.0,6.2,,,,,,0.5,,,"Old Market",51.4560189999,-2.58348949026
213,1287486000,82.0,46.0,24.0,10.1,,,,,,0.5,,,"Old Market",51.4560189999,-2.58348949026
213,1287500400,120.0,59.0,40.0,13.3,,,,,,0.7,,,"Old Market",51.4560189999,-2.58348949026
213,1287543600,31.0,23.0,5.0,7.8,,,,,,0.2,,,"Old Market",51.4560189999,-2.58348949026
213,1287590400,279.0,107.0,113.0,9.7,,,,,,1.2,,,"Old Market",51.4560189999,-2.58348949026
213,1287644400,695.0,143.0,361.0,33.5,,,,,,1.4,,,"Old Market",51.4560189999,-2.58348949026
213,1287658800,311.0,103.0,136.0,16.4,,,,,,0.1,,,"Old Market",51.4560189999,-2.58348949026
213,1287684000,243.0,101.0,93.0,15.6,,,,,,0.9,,,"Old Market",51.4560189999,-2.58348949026
213,1287687600,193.0,84.0,71.0,14.4,,,,,,0.9,,,"Old Market",51.4560189999,-2.58348949026
213,1287723600,369.0,88.0,184.0,18.0,,,,,,0.7,,,"Old Market",51.4560189999,-2.58348949026
