SiteID,Ts,NOx,NO2,NO,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Location,Lat,Long
459,1287277200,182.08,46.62,88.32,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287291600,504.58,65.61,286.22,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287306000,136.85,44.47,60.23,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287316800,68.95,36.84,20.93,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287352800,146.59,46.23,65.44,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287367200,54.6,21.81,21.38,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287370800,65.76,23.55,27.52,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287385200,451.67,66.82,250.94,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287417600,84.77,43.81,26.7,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287421200,70.89,40.97,19.51,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287450000,26.61,16.95,6.3,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287460800,95.16,44.79,32.84,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287468000,263.44,57.05,134.57,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287496800,121.85,50.35,46.62,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287554400,376.33,62.72,204.48,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287558000,479.25,72.88,264.96,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287572400,60.5,29.58,20.16,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287583200,60.27,36.95,15.2,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287630000,187.51,34.85,99.54,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287637200,261.02,43.22,142.01,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287640800,392.33,56.1,219.24,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287759600,64.99,31.27,21.99,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287774000,130.41,43.45,56.7,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287788400,49.87,25.94,15.61,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287882000,63.04,25.89,24.22,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287907200,142.28,40.36,66.45,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287910800,137.56,39.94,63.65,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1287918000,85.77,35.34,32.88,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288011600,76.03,36.39,25.85,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288018800,96.11,41.75,35.44,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288051200,49.76,30.74,12.4,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288058400,90.85,43.04,31.17,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288069200,45.09,29.13,10.4,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288094400,48.69,24.13,16.01,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288098000,40.72,25.51,9.92,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288116000,49.4,32.82,10.81,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288126800,30.92,22.19,5.69,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288130400,20.71,15.66,3.29,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288180800,32.75,20.6,7.93,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288231200,14.21,12.96,0.81,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288234800,13.32,12.33,0.65,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288270800,46.63,26.18,13.33,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288306800,28.09,17.24,7.07,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288310400,13.32,10.64,1.75,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288335600,52.71,27.71,16.3,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288350000,92.44,40.89,33.61,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288360800,53.24,33.54,12.84,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288378800,45.86,28.22,11.5,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288393200,29.8,19.2,6.91,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288407600,22.65,15.98,4.35,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
459,1288425600,101.95,44.35,37.56,,,,,,,,,,"Cheltenham Road \ Station Road",51.4689385901,-2.5927241667
